Num_children,Income,Wines,Fruits,Meat,Fish,Sweets,Gold,Total,labels
2,59247,327,9,122,19,14,83,574,1
1,66731,371,159,194,58,106,141,1029,2
1,77353,275,59,107,69,101,59,670,1
1,52614,789,0,142,12,9,38,990,1
2,26751,1,1,5,0,3,1,11,0
1,81300,1004,12,145,32,12,36,1241,1
0,70337,187,81,149,25,43,91,576,1
1,36145,56,4,76,17,1,18,172,0
0,65295,365,32,117,34,110,6,664,1
1,68118,595,23,123,10,23,154,928,1
0,68743,1132,134,384,175,134,115,2074,2
0,41039,34,11,137,179,61,45,467,1
1,38946,116,6,82,6,6,41,257,0
0,65777,565,32,435,28,32,54,1146,1
1,66476,372,18,126,47,48,78,689,1
0,86857,899,102,838,133,102,40,2114,2
0,77845,760,40,480,0,40,26,1346,1
0,69476,260,86,559,63,9,67,1044,2
1,50611,459,0,24,6,0,4,493,0
0,61209,466,0,224,119,49,99,957,1
1,42315,67,15,80,17,11,80,270,0
0,13084,2,0,7,3,7,10,29,0
2,47570,67,1,20,0,2,31,121,0
2,61923,92,4,18,3,3,6,126,0
0,34824,4,2,11,2,0,4,23,0
2,26518,20,1,28,3,3,2,57,0
0,45938,273,11,178,62,83,29,636,1
0,78468,434,22,388,104,22,34,1004,2
1,78901,321,11,309,33,26,34,734,1
2,71427,212,123,177,15,64,23,614,1
1,71022,909,12,278,0,12,242,1453,1
0,90247,1184,32,352,21,16,16,1621,2
1,41335,112,19,21,16,14,5,187,0
1,71952,656,80,455,52,107,93,1443,2
1,35682,23,0,8,6,2,18,57,0
1,43185,537,6,42,16,6,30,637,1
1,66375,712,0,45,0,0,191,948,1
1,35178,23,1,13,2,2,18,59,0
1,25252,1,3,4,2,2,6,18,0
1,55250,664,58,83,32,0,66,903,1
1,33249,6,10,21,19,14,42,112,0
0,58398,299,5,201,21,21,49,596,1
1,50272,99,13,66,43,8,4,233,0
0,76618,749,40,294,121,160,147,1511,2
0,87305,345,25,501,63,138,80,1152,2
1,25851,9,4,18,7,5,5,48,0
1,58710,440,81,368,0,122,174,1185,1
2,45160,8,2,5,3,0,3,21,0
1,74806,670,9,249,0,28,9,965,1
0,59111,524,0,134,28,28,155,869,1
1,18988,6,0,6,2,1,1,16,0
0,72190,597,166,597,172,166,249,1947,2
1,7500,7,0,12,13,7,32,71,0
1,44794,54,0,7,0,0,4,65,0
0,80395,445,25,706,80,76,48,1380,2
0,75012,294,142,218,164,58,151,1027,2
3,56962,292,3,77,10,3,26,411,0
0,89891,412,22,132,59,28,183,836,1
2,35946,8,0,3,0,0,0,11,0
2,53593,349,4,78,6,0,43,480,0
2,66373,328,9,124,12,24,109,606,1
3,45072,144,2,99,7,2,30,284,0
2,89694,1126,28,211,37,28,42,1472,1
0,72025,967,0,617,43,50,0,1677,2
1,67432,432,79,341,177,136,170,1335,2
1,70545,138,39,63,55,18,21,334,1
1,17487,0,0,1,7,4,6,18,0
1,62882,509,133,497,78,24,97,1338,2
1,64108,948,10,86,13,21,21,1099,1
2,34941,39,2,25,4,3,24,97,0
3,48767,28,1,21,3,0,10,63,0
1,38702,13,11,24,13,8,40,109,0
0,82224,307,26,360,138,31,40,902,2
0,83844,901,31,345,75,31,191,1574,2
1,17003,2,5,12,4,8,7,38,0
0,71163,283,17,372,138,106,44,960,2
1,33697,4,3,7,0,3,11,28,0
0,63564,769,80,252,15,34,65,1215,2
0,83443,518,42,742,55,56,84,1497,2
1,51518,350,8,66,17,4,4,449,0
1,58330,445,53,213,104,98,151,1064,2
0,80952,778,178,689,41,27,44,1757,2
0,75507,709,93,374,104,80,80,1440,2
0,63855,359,35,314,93,116,89,1006,2
1,62220,799,12,375,16,12,12,1226,1
1,58512,895,10,101,13,0,152,1171,1
1,40662,40,2,23,0,4,23,92,0
1,38829,76,0,7,0,0,16,99,0
1,35523,11,5,22,12,5,11,66,0
2,79146,245,16,223,21,43,16,564,1
0,78285,647,107,391,175,67,40,1427,2
1,31626,39,1,9,2,1,34,86,0
0,75127,203,35,305,46,17,227,833,1
1,48726,138,3,38,4,0,59,242,0
0,74985,587,51,898,247,0,86,1869,2
0,67430,595,97,291,127,133,121,1364,2
1,46891,43,12,23,29,15,61,183,0
1,62058,301,7,74,10,0,58,450,1
1,72063,180,32,348,76,32,90,758,1
0,78939,794,115,243,150,0,205,1507,2
2,42720,392,5,91,28,26,112,654,1
2,33622,39,1,22,3,4,12,81,0
1,6835,107,2,12,2,2,12,137,0
2,41452,13,0,3,0,0,0,16,0
1,40760,70,0,17,0,0,6,93,0
0,74250,680,11,392,75,0,0,1158,1
2,51124,26,1,11,0,1,4,43,0
1,72258,522,0,522,227,120,134,1525,2
0,71466,412,12,546,78,182,0,1230,2
2,36283,6,5,5,8,0,5,29,0
1,20587,2,3,6,4,1,9,25,0
1,30467,1,3,8,2,5,5,24,0
1,31590,6,2,15,6,6,3,38,0
1,20425,4,12,5,3,16,17,57,0
2,17144,18,2,19,0,2,6,47,0
1,42564,324,48,186,39,18,198,813,1
1,43783,327,9,125,25,4,139,629,1
1,40780,229,27,71,13,3,34,377,0
0,62847,521,168,706,80,76,61,1612,2
0,82017,184,23,446,30,23,23,729,1
0,16813,4,8,11,12,2,13,50,0
2,51267,183,2,64,7,2,12,270,0
1,46524,31,19,35,26,14,52,177,0
0,45183,219,3,60,12,9,12,315,0
1,70421,479,28,136,75,14,35,767,1
1,60161,584,44,212,46,8,177,1071,1
0,73926,627,91,597,159,91,15,1580,2
1,19329,24,1,16,12,2,5,60,0
1,61872,330,5,159,36,27,16,573,1
2,46984,19,1,10,2,1,8,41,0
2,34838,28,23,29,29,14,47,170,0
0,82716,606,148,228,15,148,22,1167,2
0,48192,1039,43,204,153,58,29,1526,2
2,49681,411,0,26,0,0,21,458,0
1,56850,34,1,19,2,7,0,63,0
1,55267,161,28,136,32,3,45,405,0
2,59666,623,53,178,23,17,133,1027,1
1,72504,604,26,470,123,161,94,1478,2
0,26872,3,10,8,3,16,32,72,0
1,21359,12,2,17,6,1,10,48,0
0,73170,184,174,256,50,30,32,726,2
1,52750,393,0,239,90,69,69,860,1
0,91820,410,73,747,76,161,30,1497,2
1,65968,376,9,83,19,4,4,495,1
2,30772,7,2,4,2,1,4,20,0
0,22507,68,0,226,51,157,68,570,1
1,65685,642,14,49,0,7,57,769,1
1,25804,8,7,9,13,6,12,55,0
0,76412,840,53,804,23,71,17,1808,2
1,22063,7,10,13,3,11,11,55,0
0,57091,464,5,64,7,0,37,577,1
0,22419,30,3,47,19,21,42,162,0
1,87771,1492,38,287,50,57,33,1957,2
1,78353,752,122,476,39,153,34,1576,2
3,93404,1279,15,287,20,0,15,1616,1
3,37859,22,1,8,2,1,2,36,0
1,80995,860,28,409,73,56,56,1482,2
1,16529,3,0,5,13,0,1,22,0
2,55412,10,5,28,11,1,8,63,0
0,48789,351,16,156,7,5,145,680,1
2,56575,421,5,90,0,16,10,542,0
1,25130,2,5,7,0,18,18,50,0
2,35441,25,1,9,2,1,1,39,0
1,71391,336,123,274,46,123,141,1043,2
1,49494,191,9,97,0,6,82,385,0
0,81702,563,50,774,28,31,187,1633,2
1,45889,31,0,6,0,1,8,46,0
1,56628,479,5,82,7,17,171,761,1
2,34026,18,6,15,12,8,17,76,0
1,40049,91,65,52,10,44,28,290,0
1,34176,5,7,24,19,14,20,89,0
1,19419,2,14,28,16,3,7,70,0
0,82504,362,50,431,134,35,54,1066,2
0,81205,724,74,929,97,55,130,2009,2
0,61618,605,91,399,0,45,205,1345,2
1,55284,547,7,140,0,7,63,764,1
1,49980,104,1,54,13,9,14,195,0
2,15072,8,2,15,0,10,18,53,0
1,49166,224,2,25,7,0,110,368,0
1,65324,384,0,102,21,32,5,544,1
0,82347,556,54,845,202,133,63,1853,2
2,30843,24,0,2,0,0,9,35,0
1,46374,408,0,21,0,0,17,446,0
1,60474,265,199,303,234,9,170,1180,2
1,38576,34,0,7,0,0,0,41,0
2,55357,374,64,116,84,25,64,727,1
2,37758,27,2,10,0,0,1,40,0
0,85710,600,20,350,29,30,33,1062,1
1,23228,13,2,18,6,1,0,40,0
2,44602,167,2,89,0,0,34,292,0
0,7500,0,2,3,4,1,5,15,0
1,38683,46,35,69,84,41,66,341,0
1,49514,88,39,78,58,13,93,369,0
1,57906,243,11,119,10,3,15,401,0
1,43456,275,11,68,25,7,7,393,0
2,19485,6,0,4,0,0,0,10,0
1,53172,121,62,90,68,20,125,486,1
1,30545,4,12,15,19,7,12,69,0
0,70123,1308,0,396,23,0,0,1727,1
1,62450,515,47,267,62,66,38,995,1
1,21675,4,0,16,17,4,4,45,0
2,42395,48,13,57,24,15,25,182,0
1,61346,562,58,168,43,16,142,989,1
0,80812,769,22,500,210,143,33,1677,2
2,42835,379,4,93,12,9,98,595,0
1,39922,29,12,59,19,1,36,156,0
0,86424,387,68,569,89,45,68,1226,2
1,17117,12,23,38,30,18,7,128,0
1,24762,6,10,12,3,15,40,86,0
1,35797,27,1,14,4,1,21,68,0
2,36627,9,1,5,0,0,1,16,0
2,51111,22,0,19,6,5,3,55,0
0,86857,899,102,838,133,102,40,2114,2
0,82072,889,55,685,168,92,129,2018,2
3,46231,189,2,55,0,5,12,263,0
2,42243,48,0,2,0,0,5,55,0
2,51195,230,14,156,82,24,58,564,0
0,68092,852,60,207,78,36,48,1281,2
1,31814,35,3,20,4,1,20,83,0
2,51390,205,20,47,23,2,56,353,0
0,76630,255,31,446,40,56,175,1003,1
1,26868,0,0,1,8,3,2,14,0
0,48948,437,8,206,160,49,42,902,2
1,55260,825,8,53,11,0,242,1139,1
1,64090,316,58,161,76,51,135,797,1
1,78331,756,138,354,160,169,61,1638,2
1,37087,194,55,134,15,0,3,401,0
1,21846,7,17,18,6,10,26,84,0
0,81320,183,33,493,59,103,57,928,2
1,54137,171,0,11,0,1,20,203,0
0,66825,243,101,405,29,40,40,858,1
0,57100,181,21,69,39,3,96,409,1
3,58917,151,7,89,0,7,28,282,0
0,85072,494,92,391,194,11,241,1423,2
0,86429,464,28,873,29,18,37,1449,2
1,45684,5,1,5,10,0,7,28,0
1,47889,29,0,29,0,5,4,67,0
0,45921,102,9,49,24,3,12,199,0
0,78420,604,28,674,91,28,28,1453,2
0,75114,571,12,523,63,60,24,1253,2
1,52278,953,0,71,0,0,174,1198,1
1,35641,63,3,67,8,9,28,178,0
0,95529,770,29,890,250,27,24,1990,2
0,62820,398,61,265,138,61,53,976,2
0,73113,741,19,154,50,9,28,1001,1
0,84169,1478,19,403,0,19,0,1919,2
1,42607,156,29,56,30,32,47,350,0
0,74637,960,64,464,146,0,16,1650,2
2,46015,38,0,2,0,0,6,46,0
0,72354,315,26,473,220,12,182,1228,2
1,39858,15,20,25,2,7,26,95,0
2,34469,19,6,20,0,5,12,62,0
1,83033,812,99,431,237,149,33,1761,2
0,24401,73,28,217,10,24,115,467,0
0,77583,372,23,384,250,12,108,1149,2
0,74116,871,111,704,145,55,166,2052,2
0,74293,375,152,335,93,91,81,1127,2
1,68397,760,80,466,17,13,80,1416,1
0,79632,471,0,510,99,21,12,1113,1
1,46107,31,9,27,16,9,33,125,0
1,64950,819,0,72,12,0,63,966,1
1,25443,1,4,3,8,9,7,32,0
0,75127,203,35,305,46,17,227,833,1
1,32892,26,0,15,2,1,2,46,0
0,71796,354,21,311,167,75,32,960,2
1,67536,1253,0,447,23,71,35,1829,1
1,55239,371,17,238,23,24,106,779,1
1,60554,588,7,76,110,15,15,811,1
2,64831,480,86,249,75,86,144,1120,1
1,56067,517,12,54,16,6,120,725,1
0,82025,267,98,606,48,70,98,1187,2
0,94384,1111,24,790,160,45,172,2302,2
0,14906,7,7,14,7,16,15,66,0
0,51563,1166,0,48,0,0,36,1250,1
1,57937,261,42,144,55,48,133,683,1
2,68274,135,25,51,23,25,46,305,0
1,39771,6,2,18,2,8,14,50,0
1,67893,711,28,142,49,18,47,995,1
1,27922,11,0,13,2,4,11,41,0
2,52190,42,0,17,0,0,18,77,0
2,44051,79,7,58,6,3,18,171,0
2,42767,20,6,43,19,5,38,131,0
2,46106,30,0,8,2,0,14,54,0
2,16927,20,2,23,3,1,4,53,0
1,59754,115,27,44,4,146,139,475,1
1,53700,263,5,233,69,41,83,694,1
2,59041,69,2,15,2,2,6,96,0
1,54237,267,3,30,4,0,57,361,0
1,70647,561,85,171,25,123,114,1079,1
1,52597,492,0,37,7,0,42,578,1
1,41021,14,7,9,6,16,12,64,0
1,40233,80,4,46,0,17,2,149,0
2,50183,97,12,84,13,10,15,231,0
1,54753,197,107,227,7,59,131,728,1
0,92955,693,21,925,31,24,84,1778,2
1,33471,43,2,27,0,9,12,93,0
1,34596,14,0,2,0,0,7,23,0
1,44010,186,36,234,86,72,48,662,1
0,84219,434,137,400,45,137,45,1198,2
3,40706,59,0,11,4,2,5,81,0
1,15716,16,5,30,8,7,26,92,0
1,59052,230,35,75,63,57,31,491,1
0,80573,829,138,430,60,92,15,1564,2
0,83715,318,8,407,150,35,8,926,2
0,82576,1206,55,445,168,18,18,1910,2
3,56962,292,3,77,10,3,26,411,0
2,35704,30,9,12,2,11,30,94,0
1,53103,729,17,133,11,0,195,1085,1
2,46779,12,1,3,0,0,7,23,0
0,4861,2,1,1,1,0,1,6,0
1,33462,22,3,18,0,0,11,54,0
1,63693,587,43,337,42,87,54,1150,1
0,80763,674,168,108,192,42,231,1415,2
1,65352,284,3,84,4,7,23,405,0
0,82170,1023,93,651,49,55,37,1908,2
0,75759,1394,22,708,89,91,182,2486,2
0,79689,311,26,640,180,37,121,1315,2
2,35340,27,0,12,0,1,5,45,0
0,85683,1296,17,311,45,69,51,1789,2
1,24884,3,6,7,0,0,3,19,0
1,42021,393,5,136,7,5,27,573,0
1,64449,218,63,282,137,35,70,805,1
2,64587,66,0,16,0,6,20,108,0
0,34824,4,2,11,2,0,4,23,0
0,75437,795,0,545,95,58,0,1493,2
2,26091,15,10,19,8,17,20,89,0
1,52845,384,25,292,130,41,64,936,1
1,46086,244,8,32,7,2,50,343,0
1,78028,158,19,288,25,0,38,528,1
0,95169,1285,21,449,106,20,20,1901,2
2,56337,349,16,144,28,5,182,724,1
1,22434,4,12,11,3,13,15,58,0
1,36930,223,2,31,0,2,39,297,0
1,36130,157,43,127,68,56,37,488,0
1,65569,397,46,288,20,38,70,859,1
0,83844,901,31,345,75,31,191,1574,2
2,19514,14,3,21,2,1,28,69,0
2,36736,10,0,3,0,0,4,17,0
1,77568,1230,0,396,232,178,158,2194,2
1,49187,81,1,31,2,1,0,116,0
1,30168,154,20,66,0,12,27,279,0
1,34053,63,0,21,7,0,12,103,0
2,38196,30,0,11,0,0,3,44,0
0,59412,90,67,165,30,43,11,406,1
0,70924,635,114,254,132,152,76,1363,2
0,54165,127,4,73,15,6,11,236,0
1,32300,13,3,6,6,5,6,39,0
0,20180,18,42,24,15,20,18,137,0
1,34961,45,2,26,4,1,1,79,0
1,28440,38,1,24,0,0,0,63,0
3,64504,986,36,168,16,0,108,1314,1
1,33564,61,0,3,0,0,7,71,0
1,17345,4,9,16,17,0,12,58,0
1,56320,201,53,172,116,77,83,702,1
1,28647,19,8,29,0,12,26,94,0
1,15038,4,8,11,19,12,26,80,0
1,32173,18,0,2,0,0,2,22,0
1,68316,806,80,161,120,11,33,1211,2
0,74538,380,98,733,110,112,28,1461,2
0,91700,576,172,961,125,115,19,1968,2
0,68695,458,81,356,106,50,40,1091,2
1,31056,5,10,13,3,8,16,55,0
0,79593,350,60,568,110,133,145,1366,2
0,28071,39,33,130,41,26,44,313,0
2,37334,26,1,16,2,2,15,62,0
2,46423,68,0,16,0,0,8,92,0
1,37126,45,3,9,4,4,7,72,0
1,47703,359,0,134,13,26,123,655,1
1,61180,403,24,29,6,24,218,704,1
2,38998,34,1,14,0,0,5,54,0
0,8028,73,18,66,7,12,2,178,0
0,76081,292,30,415,63,33,200,1033,1
1,34728,14,0,16,0,0,6,36,0
1,33168,80,1,37,0,1,3,122,0
1,33585,30,11,33,13,6,29,122,0
1,77037,463,96,333,168,53,10,1123,2
1,35196,75,12,141,43,39,187,497,1
1,44529,538,13,91,17,6,26,691,1
0,70924,635,114,254,132,152,76,1363,2
2,28764,8,0,3,0,0,1,12,0
0,69098,1315,22,780,145,0,178,2440,2
2,25959,4,2,12,7,5,26,56,0
1,27100,12,0,13,2,0,10,37,0
0,70596,347,44,534,17,0,26,968,1
1,42557,192,5,53,0,5,15,270,0
0,53312,241,0,12,0,0,25,278,0
0,72228,631,28,491,30,14,56,1250,1
0,67605,336,28,282,184,54,54,938,2
2,62845,1099,0,45,0,0,34,1178,1
2,65196,743,19,181,12,0,200,1155,1
0,42000,124,83,267,85,59,35,653,1
2,35860,15,0,8,4,2,20,49,0
1,65526,397,19,69,12,0,9,506,1
2,16860,10,4,4,3,3,14,38,0
0,83528,530,117,678,134,44,147,1650,2
1,64176,1215,33,249,64,116,149,1826,2
0,22304,3,2,7,0,4,2,18,0
0,67023,444,44,382,11,8,17,906,1
1,32892,26,0,15,2,1,2,46,0
1,70713,736,114,279,82,76,190,1477,2
1,59925,473,21,176,19,21,56,766,1
1,39722,32,0,5,2,0,8,47,0
0,46610,288,10,30,4,10,125,467,1
0,88347,1050,178,555,77,138,118,2116,2
0,87171,1001,44,107,58,44,44,1298,2
2,26907,9,1,7,0,3,2,22,0
1,50014,234,14,77,19,10,42,396,0
1,41014,7,2,6,2,0,3,20,0
0,66294,251,108,334,65,92,117,967,2
1,36715,172,10,125,21,13,16,357,0
0,79456,565,42,548,64,83,99,1401,2
1,40479,5,0,8,2,0,0,15,0
0,75345,918,57,842,99,38,133,2087,2
1,54233,652,8,158,21,0,142,981,1
2,24163,4,1,7,2,1,2,17,0
0,84460,152,27,103,106,54,81,523,1
1,43776,8,0,9,2,1,3,23,0
0,71691,336,130,411,240,32,43,1192,2
0,85844,938,19,843,25,95,38,1958,2
1,39190,68,8,18,19,8,12,133,0
0,71367,227,23,389,42,21,75,777,1
2,38578,38,4,22,3,3,3,73,0
2,57236,105,0,9,2,1,4,121,0
1,61825,162,50,100,55,30,27,424,1
1,79803,574,8,216,21,16,33,868,1
0,80910,160,80,369,67,39,41,756,2
1,27590,6,0,5,0,0,1,12,0
1,56775,614,35,160,58,35,35,937,1
0,83829,897,161,430,186,161,27,1862,2
1,54210,70,54,109,80,9,45,367,0
1,38508,120,19,206,25,19,54,443,0
1,53187,211,2,30,7,7,10,267,0
1,30023,11,0,16,7,6,21,61,0
0,76045,760,53,400,17,93,0,1323,2
1,50870,53,0,8,0,0,2,63,0
0,15315,7,4,13,15,8,17,64,0
1,65463,391,32,70,21,32,16,562,1
2,66480,199,9,57,20,21,6,312,0
0,76773,516,56,449,86,33,16,1156,2
0,81698,709,45,115,30,160,45,1104,2
2,54466,12,0,4,0,0,0,16,0
0,98777,1000,19,711,125,115,38,2008,2
1,16269,19,3,18,3,1,0,44,0
1,71819,1224,28,140,0,14,168,1574,1
1,33569,16,2,18,3,0,24,63,0
0,36262,88,39,54,64,28,153,426,1
0,22634,2,23,11,8,6,46,96,0
1,47025,508,11,59,23,5,29,635,1
1,70566,381,28,215,84,28,21,757,1
1,31605,74,0,42,2,1,6,125,0
2,52034,146,0,93,7,13,73,332,0
1,48526,23,17,23,43,20,9,135,0
1,46734,110,5,137,26,23,29,330,0
2,39552,165,3,147,4,24,41,384,0
2,86358,957,47,494,82,47,95,1722,2
3,46931,41,0,17,3,1,16,78,0
0,16581,1,3,4,2,3,11,24,0
0,63998,176,29,818,0,33,112,1168,1
1,67381,815,8,53,11,0,70,957,1
2,25930,6,1,2,2,0,4,15,0
1,42693,8,4,20,6,3,16,57,0
1,85606,717,42,864,219,30,84,1956,2
0,72903,1067,138,750,0,19,39,2013,2
1,49669,166,5,107,11,8,29,326,0
2,36778,29,4,34,2,4,4,77,0
0,85696,714,76,395,116,0,12,1313,2
0,10979,8,4,10,2,2,4,30,0
1,49678,229,5,56,3,2,20,315,0
1,56129,320,48,133,39,72,48,660,1
1,37155,23,0,26,7,15,3,74,0
1,21282,1,5,8,4,8,20,46,0
1,33419,56,0,12,0,0,18,86,0
0,63285,508,124,249,50,38,134,1103,2
1,21255,29,0,25,2,2,3,61,0
1,42162,46,7,59,2,4,27,145,0
2,54450,454,0,171,8,19,32,684,1
1,57744,350,3,39,0,0,19,411,0
1,26576,10,0,8,0,0,9,27,0
0,57513,735,40,183,52,20,30,1060,1
1,68142,897,126,196,91,112,37,1459,2
1,7500,5,2,3,3,0,5,18,0
0,83145,777,35,731,39,137,114,1833,2
1,54197,162,6,37,6,13,13,237,0
2,23091,35,0,11,0,0,2,48,0
2,46049,342,9,112,19,14,19,515,0
0,56715,258,105,239,237,172,9,1020,2
0,79410,658,80,483,123,13,13,1370,2
1,57304,356,80,329,138,17,106,1026,2
1,44375,213,5,28,7,7,41,301,0
2,54450,454,0,171,8,19,32,684,1
1,59594,457,4,29,0,0,9,499,1
0,80685,241,45,604,34,26,54,1004,1
1,40344,210,0,6,0,0,2,218,0
1,62710,441,35,83,7,29,11,606,1
1,48985,19,13,18,10,7,8,75,0
3,35322,28,9,37,12,7,13,106,0
0,77142,476,75,162,29,151,97,990,2
0,81657,364,40,425,158,60,50,1097,2
0,14421,0,0,2,3,3,8,16,0
0,20130,0,6,3,7,6,12,34,0
0,74214,863,83,547,86,99,33,1711,2
2,66726,349,7,35,0,0,47,438,0
1,23724,5,23,15,0,18,14,75,0
1,47353,184,2,19,8,8,4,225,0
2,33444,8,0,8,0,0,2,18,0
1,54386,277,21,64,62,21,25,470,1
2,28510,44,5,19,0,4,19,91,0
0,90638,1156,120,915,94,144,96,2525,2
1,48070,373,14,83,6,9,19,504,0
1,43140,134,8,76,6,0,11,235,0
1,54959,1148,0,60,0,0,24,1232,1
2,15056,6,12,3,21,6,40,88,0
1,26954,4,1,11,0,0,1,17,0
1,22327,5,4,8,2,0,5,24,0
2,44393,24,2,20,2,2,10,60,0
1,62000,899,0,101,0,0,20,1020,1
1,31497,108,1,28,13,1,4,155,0
2,45894,27,2,7,0,2,13,51,0
0,78579,816,66,549,216,66,99,1812,2
1,67369,1298,0,70,37,14,42,1461,1
1,58401,10,0,11,17,29,29,96,0
1,62307,87,13,34,10,6,10,160,0
2,43641,57,2,51,4,2,23,139,0
1,63841,635,15,100,20,7,131,908,1
1,46891,43,12,23,29,15,61,183,0
1,70091,964,34,137,15,0,11,1161,1
0,78075,572,8,259,34,35,80,988,1
1,59184,341,142,113,259,151,66,1072,2
2,54809,63,6,57,13,13,22,174,0
1,58113,221,104,169,102,78,84,758,1
1,51412,140,3,29,4,5,14,195,0
1,15287,1,2,8,4,3,13,31,0
0,66636,291,10,689,84,10,0,1084,1
1,50965,544,13,85,8,6,29,685,1
0,84618,684,100,801,21,66,0,1672,2
0,18351,1,12,9,0,14,7,43,0
2,40451,35,0,4,0,0,10,49,0
1,36317,87,3,25,3,2,13,133,0
1,42213,309,3,24,4,3,20,363,0
1,65748,172,73,93,95,78,34,545,1
1,77044,625,38,242,50,34,76,1065,1
0,74918,972,59,913,25,19,59,2047,2
2,56721,157,6,39,6,13,75,296,0
2,42160,48,9,45,3,15,20,140,0
1,61559,279,83,88,32,14,34,530,1
2,33629,132,0,16,0,0,4,152,0
0,68682,919,0,505,99,30,45,1598,2
1,34377,62,0,22,3,1,26,114,0
1,8940,1,45,3,4,6,42,101,0
1,26228,2,6,4,3,1,9,25,0
0,77297,408,61,109,48,122,41,789,2
2,40211,51,1,7,2,1,25,87,0
2,33438,62,1,16,3,2,6,90,0
1,75032,952,12,180,47,12,12,1215,1
0,61284,618,15,106,20,7,45,811,1
1,22518,11,7,12,2,2,27,61,0
1,54730,318,3,17,4,7,56,405,0
2,38452,56,0,14,0,0,2,72,0
2,44421,110,5,59,7,1,7,189,0
1,38197,23,0,11,2,1,3,40,0
1,41986,27,5,8,8,3,12,63,0
1,28427,18,3,19,3,3,6,52,0
1,37395,18,0,9,0,1,11,39,0
1,64722,303,0,280,60,147,15,805,1
1,55249,97,1,19,2,0,11,130,0
0,84906,997,15,414,99,30,76,1631,2
1,28691,5,4,13,8,0,4,34,0
2,44213,95,11,35,0,4,7,152,0
1,25707,1,6,2,3,6,3,21,0
3,59062,46,1,12,3,0,9,71,0
1,76624,411,106,147,54,115,66,899,2
0,66000,244,51,270,101,0,45,711,1
1,27683,152,9,121,12,12,45,351,0
0,1730,1,1,3,1,1,1,8,0
1,7500,10,17,18,8,26,40,119,0
2,40521,12,0,5,0,0,4,21,0
1,20427,5,0,4,0,0,1,10,0
1,65106,790,19,133,12,0,19,973,1
0,69969,882,29,514,38,29,44,1536,2
2,67433,615,28,259,12,48,30,992,1
1,77766,1004,59,265,115,59,27,1529,2
1,74716,133,27,421,13,195,71,860,1
1,68118,595,23,123,10,23,154,928,1
2,55158,293,0,87,4,11,23,418,0
1,62972,313,15,47,20,0,192,587,1
1,74190,151,81,86,168,91,64,641,2
2,39356,15,0,2,0,0,6,23,0
0,76653,736,63,946,219,189,126,2279,2
2,35860,15,0,8,4,2,20,49,0
0,90687,982,17,672,23,34,51,1779,2
0,73450,1142,51,415,90,69,37,1804,2
2,31454,28,0,11,0,0,9,48,0
2,47139,46,0,12,0,2,23,83,0
0,83829,897,161,430,186,161,27,1862,2
2,53378,489,6,152,8,6,132,793,1
1,19656,25,4,9,6,8,32,84,0
1,45579,145,1,33,2,1,1,183,0
0,85485,630,26,611,44,18,54,1383,2
0,55956,760,38,104,50,9,38,999,1
1,64191,420,15,186,151,38,15,825,1
1,38808,125,17,52,3,19,30,246,0
2,57183,464,5,64,7,0,70,610,1
1,23748,6,6,29,12,15,8,76,0
1,66303,1090,12,96,16,12,60,1286,1
1,37368,3,2,11,2,2,10,30,0
3,40800,24,0,27,8,30,10,99,0
0,71847,737,21,106,55,63,210,1192,2
1,46149,254,6,71,4,0,27,362,0
0,78687,817,185,687,145,55,241,2130,2
0,49118,620,54,239,99,98,119,1229,2
2,37633,13,4,20,0,0,1,38,0
0,39767,113,61,204,34,26,47,485,1
0,26997,7,23,78,133,49,144,434,1
1,33986,16,2,18,2,1,5,44,0
1,57091,462,0,24,6,0,4,496,1
2,46831,22,2,10,6,4,34,78,0
0,83151,968,147,842,137,42,210,2346,2
0,52531,283,112,151,51,72,125,794,2
0,15759,1,2,5,6,0,3,17,0
1,22804,14,1,7,2,1,1,26,0
1,43050,30,5,24,6,3,8,76,0
2,42997,4,0,5,0,1,5,15,0
2,48918,52,0,9,0,0,1,62,0
1,60033,62,1,57,19,11,48,198,0
1,34043,20,2,14,3,0,10,49,0
1,57811,545,7,114,37,21,78,802,1
0,78569,558,79,622,207,175,95,1736,2
2,7500,6,5,4,13,4,25,57,0
0,94384,1111,24,790,160,45,172,2302,2
0,23148,4,6,8,6,3,10,37,0
2,44267,183,5,65,3,5,49,310,0
0,71626,546,72,376,94,145,72,1305,2
1,60894,606,7,155,10,0,54,832,1
2,50200,266,6,51,8,6,64,401,0
0,81051,1142,29,249,38,29,14,1501,2
0,65169,1074,0,69,0,0,46,1189,1
1,59868,771,51,154,54,10,154,1194,1
1,65695,371,32,189,0,58,6,656,1
0,64857,556,14,717,210,0,43,1540,2
1,45143,202,5,74,11,5,14,311,0
1,74805,209,162,209,41,162,37,820,2
1,59060,35,40,111,36,40,12,274,0
2,27238,37,0,17,0,0,3,57,0
1,47009,171,45,73,59,10,90,448,1
2,46094,12,2,20,3,2,5,44,0
2,40321,44,4,21,6,0,27,102,0
1,37235,20,2,9,4,6,20,61,0
0,81843,779,86,537,34,69,138,1643,2
1,46692,170,6,97,24,12,88,397,0
1,77382,491,48,231,112,105,134,1121,2
2,37774,173,8,107,7,2,176,473,0
1,18393,7,10,13,16,0,4,50,0
1,72828,1205,0,235,19,14,205,1678,1
0,24711,10,7,25,6,3,7,58,0
